user,VIP,dynamic,foucs,fans,district,listen_songs,acclaim,comment,time,content
鸡蛋的夹心鱼丸,False,0,5,1,,3731,2,0,2020-05-26 18:42:54,2020年5月份的第23天我终于和自己喜欢了四年的人在一起了。开心到失眠，又害怕，因为我喜欢她比她喜欢我多得多。我也能感觉到的我们终究会分手，所以我珍惜现在的每一天。可怕的是我没有一点拒绝她的能力，我本就是她身边最不起眼的那个。我真的很喜欢她所以才能让我自己不去打扰她四年。愚人的国度
小懒男121,False,0,4,2,河南省 - 郑州市,1590,0,0,2020-05-26 16:46:23,突然要破万的节奏
和珺珺的网恋日常,False,157,6,0,广东省 - 广州市,7751,0,0,2020-05-26 02:04:36,听着喜欢的人分享的歌睡不着觉啊哈 怎么说 能感觉到好像没有刚开始那么喜欢我了哎 难搞哦 最怕我开始沦陷对时候你已经开始抽离[大哭] 难过呀难过
鹤饮鸩,False,3,9,6,云南省 - 玉溪市,1698,0,0,2020-05-26 00:02:15,你说需要冷静几天才能答应我分手，然后我日夜徘徊在天堂与地狱的边缘。
hana-ang,False,0,0,0,河南省 - 商丘市,302,0,0,2020-05-25 22:34:31,w
Viviane柔,False,0,30,0,江西省 - 南昌市,1073,0,0,2020-05-25 22:31:30,好想你
Grace要飞了,False,8,42,15,上海市 ,7241,1,0,2020-05-25 19:16:59,我爱错人了吗～ 一年多了，我们该何去何从，好想回到两年前，我就可以选择不认识你
迎着阳光1802,False,1,14,13,河北省 - 邢台市,794,1,0,2020-05-25 18:44:10,半年没听她，今天发现，歌单里都变成vip可听了。[皱眉]都会变的
互相攻击为了爱,False,42,96,14,北京市 ,9289,0,1,2020-05-25 16:59:56,9年了 爱孙燕姿永远
陈宇_落雁,True,4,6,4,河北省 - 沧州市,1894,2,0,2020-05-25 16:01:13,调子和笑忘书好像啊[呆]
小透明阿娟,True,1,7,8,广东省 - 深圳市,2938,0,0,2020-05-25 11:18:06,这首歌的转音好好听
该昵称已被占用了你晓不晓得,True,9,13,3,江苏省 - 南京市,2821,1,1,2020-05-25 08:20:29,是对方不够爱使你没有安全感的，对的人使你明媚
该昵称已被占用了你晓不晓得,True,9,13,3,江苏省 - 南京市,2821,1,0,2020-05-25 08:19:18,爱是愚人自愚
嘘要飞了,False,3,18,8,,2327,1,0,2020-05-24 19:44:00,突然想到一句话：原来你喜欢花啊原来你喜欢我啊……
毛豆小姐_阿_,False,2,2,1,河北省 - 承德市,2072,0,1,2020-05-24 19:25:36,9年了
红胡颓子酱,False,432,67,25,上海市 ,9630,0,1,2020-05-24 18:38:27,深更半夜只适合睡觉，听歌太费眼泪了哈
大白兔奶糖mi,False,0,15,1,,2106,3,0,2020-05-24 13:07:15,小时候听孙燕姿的歌:好难听，现在:抽死我吧[大哭][大哭]
歆婷-,False,8,15,2,海外 - 其它,3782,1,0,2020-05-24 10:12:40,小丑🤡
荣荣66666_yBGI,True,1,4,0,湖南省 - 长沙市,428,1,0,2020-05-24 04:39:30,愚人的国度
